trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,buildProb,runtimeKill,scenario,averageSize
0,6,19,106715,4.727191052050577E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,33.0
0,7,15,149331,4.7916675365962654E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,8,15,192034,4.7916675365962654E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,9,20,125995,4.874290894783917E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,35.0
0,10,19,134038,4.927134152050579E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,11,17,147271,5.014095966348003E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,33.0
0,12,17,124959,5.014095966348003E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,13,19,117852,5.058672189168004E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,14,19,167159,5.058672189168004E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,35.0
0,15,20,164953,5.069951868288004E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,35.0
0,16,20,376510,5.0963073047839195E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,35.0
0,17,18,177221,5.105448012288004E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,33.0
0,18,18,222998,5.105448012288004E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,32.0
0,19,18,218882,5.105448012288004E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,30.0
0,20,18,333779,5.106820049371204E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,31.0
0,21,20,249486,5.121544122206403E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,32.0
0,22,20,473201,5.121544122206403E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,32.0
0,23,20,297712,5.121544122206403E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,33.0
0,24,20,353554,5.121544122206403E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
